City_Name,Zone_Name,Ward_Name,Ward_No,Tax_Collection_Cr_2013_14_Residential,Tax_Collection_Cr_2014_15_Residential,Tax_Collection_Cr_2015_16_Residential,Tax_Collection_Cr_2016_17_Residential,Tax_Collection_Cr_2017_18_Residential,Tax_Demand_Cr_2013_14_Residential,Tax_Demand_Cr_2014_15_Residential,Tax_Demand_Cr_2015_16_Residential,Tax_Demand_Cr_2016_17_Residential,Tax_Demand_Cr_2017_18_Residential,Tax_Collection_Cr_2013_14_Commercial,Tax_Collection_Cr_2014_15_Commercial,Tax_Collection_Cr_2015_16_Commercial,Tax_Collection_Cr_2016_17_Commercial,Tax_Collection_Cr_2017_18_Commercial,Tax_Demand_Cr_2013_14_Commercial,Tax_Demand_Cr_2014_15_Commercial,Tax_Demand_Cr_2015_16_Commercial,Tax_Demand_Cr_2016_17_Commercial,Tax_Demand_Cr_2017_18_Commercial
Pune,1,Aundh,8,40.6,42.39,57.78,55.35,55.67,42.07,42.88,48.51,53.48,56.25,19.88,25.55,34.57,44.96,32.2,27.84,35.26,38.42,46.72,42.55
Pune,1,Baner,17,7.39,9.25,14.37,17.7,17.79,7.4,9.81,12.66,17.18,18.33,5.15,10.34,11.21,17.16,18.79,6.23,10.36,10.3,23.36,21.39
Pune,3,Bhavani Peth,2,6.03,6.59,10.24,7.48,6.71,6.02,6.09,6.25,7.28,7.53,6.43,8.59,8.94,15.48,9.08,6.97,16.49,8.8,17.27,11.23
Pune,4,Bibwe Wadi,13,29.22,28.85,46.92,40.81,42.66,29.56,30.72,38.49,40.28,51.51,11.63,13.17,22.69,28.66,19.5,13.29,16.1,27.23,29.8,26.21
Pune,2,Chandan Nagar,21,5.26,4.9,7.52,5.77,5.65,4.26,4.23,4.75,5.69,6.24,2.81,2.51,3.08,2.69,4.68,2.27,2.35,2.64,2.7,3.16
Pune,4,Dhankawadi,15,10.82,10.46,19.06,11.4,9.86,9.98,9.42,10.63,11.08,11.44,3.41,4.32,7.11,7.38,4.41,3.56,5.67,7.42,7.14,6.15
Pune,3,Dhayari,27,1.67,1.87,3.04,1.87,1.86,1.64,1.65,1.83,1.88,2.0,1.26,1.84,1.97,2.14,1.63,1.56,1.39,1.48,1.49,1.72
Pune,2,Dhole Patil Road,10,20.78,20.07,27.21,25.44,26.27,19.51,20.06,21.7,24.28,26.9,24.61,31.32,36.25,36.79,31.38,27.73,33.25,38.06,39.07,39.32
Pune,1,Ghole Road,1,14.08,13.66,18.23,16.88,16.91,12.96,13.2,14.96,16.47,17.61,30.54,33.3,47.06,47.64,48.27,33.39,37.86,52.23,59.35,55.11
Pune,4,Hadapsar,7,42.74,45.08,66.33,61.04,61.5,44.98,43.92,50.66,59.88,64.16,37.19,46.04,75.18,76.46,60.35,38.25,50.97,63.33,79.28,66.74
Pune,3,Hingne,18,2.89,2.61,3.74,3.25,3.03,2.45,2.45,2.79,2.94,3.08,0.91,0.87,1.16,1.11,1.18,0.88,0.85,0.92,0.95,1.12
Pune,3,Kasba Peth,6,3.82,4.01,6.86,4.73,4.16,3.59,3.81,4.47,4.51,4.74,5.03,5.87,6.96,9.47,5.78,4.81,6.14,11.55,10.45,9.05
Pune,4,Katraj,22,6.93,6.21,11.01,8.04,6.59,5.85,5.77,6.37,6.83,7.15,1.94,1.97,2.85,2.73,1.98,1.67,1.72,2.12,1.91,1.99
Pune,4,Kondhwa,24,10.27,9.9,17.82,11.91,9.59,9.87,9.85,10.84,11.25,11.61,3.55,3.13,5.51,4.35,2.8,3.69,3.25,3.43,3.55,3.47
Pune,1,Kothrud,4,35.16,34.68,45.31,42.39,44.82,33.35,33.9,38.82,46.4,48.61,18.59,21.34,28.25,29.02,25.38,19.85,25.59,30.57,34.57,36.63
Pune,2,Nagar Road(Vadgaonsheri),9,42.92,41.87,57.66,64.12,60.49,43.07,43.04,55.28,72.73,69.01,45.98,73.55,95.54,105.45,108.56,49.26,77.94,104.14,111.0,123.47
Pune,3,Sahakar Nagar,11,16.88,16.99,24.32,24.87,23.49,16.93,17.44,20.54,23.88,25.24,8.09,10.02,12.22,13.85,10.13,9.86,12.98,14.23,15.83,13.74
Pune,2,Sangam Wadi,14,16.34,16.47,22.26,22.4,20.95,15.28,16.18,18.55,22.73,23.24,3.26,3.72,5.15,7.92,4.49,3.9,5.46,8.16,9.4,7.49
Pune,3,Tilak Road,5,18.33,18.64,29.74,29.19,26.81,18.77,20.13,24.63,28.26,30.71,15.05,17.0,22.85,29.06,21.3,16.57,26.54,27.1,33.2,31.91
Pune,3,Vadgaon Bk,20,5.72,5.46,9.17,6.23,5.29,5.42,5.39,6.04,6.3,6.45,1.88,1.87,2.89,2.07,1.74,1.44,1.52,1.6,1.61,1.62
Pune,2,Vadgaonsheri,9,8.02,7.49,10.88,9.17,9.0,6.89,6.67,7.46,9.16,10.23,2.77,2.38,2.67,2.61,2.18,2.41,2.46,2.59,2.64,2.69
Pune,3,Vishrambaug Wada,3,9.13,9.9,12.9,11.2,11.55,8.72,9.36,10.1,11.04,11.93,14.22,15.65,20.16,21.29,18.44,14.34,16.7,18.7,24.55,21.23
Pune,1,Warje,12,25.6,25.5,38.01,33.66,31.62,25.01,26.06,28.82,32.57,33.0,5.5,7.43,8.18,10.38,7.63,6.61,9.39,10.14,12.48,10.11
